GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,T_combined_msec_1st,Bz_combined_DAC_1st,APS_E_1st,APS_W_1st,NTC_1st,Laser_1_1st,Laser_2_1st,T_combined_msec_2nd,Bz_combined_DAC_2nd,APS_E_2nd,APS_W_2nd,NTC_2nd,Laser_1_2nd,Laser_2_2nd,T_combined_msec_3rd,Bz_combined_DAC_3rd,APS_E_3rd,APS_W_3rd,NTC_3rd,Laser_1_3rd,Laser_2_3rd,aps_bottom_endStop_aps_dac
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:623,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,0,0,-2532,-2532,39.04857272021490643965,0.00000000000000000000,0.00000000000000000000,0,0,-2126,-2126,39.19207789784638862329,0.00000000000000000000,0.00000000000000000000,0,0,-2125,-2125,39.39518593233265164599,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,-20,-4576,-4576,39.04516677772585353523,0.00000000000000000000,0.00000000000000000000,1,-20,-4282,-4282,39.19207789784638862329,0.00000000000000000000,0.00000000000000000000,1,-20,-4197,-4197,39.39518593233265164599,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,-40,-5074,-5074,39.04857272021490643965,0.00000000000000000000,0.00000000000000000000,2,-40,-4741,-4741,39.19893376898039605294,0.00000000000000000000,0.00000000000000000000,2,-40,-4672,-4672,39.39864386426245346229,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,3,-60,-4648,-4648,39.04857272021490643965,0.00000000000000000000,0.00000000000000000000,3,-60,-4293,-4293,39.19893376898039605294,0.00000000000000000000,0.00000000000000000000,3,-60,-4247,-4247,39.40210231319241529491,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,4,-80,-3999,-3999,39.05197916534399382726,0.00000000000000000000,0.00000000000000000000,4,-80,-3631,-3631,39.19550557910247334803,0.00000000000000000000,0.00000000000000000000,4,-80,-3618,-3618,39.39864386426245346229,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,5,-99,-3288,-3288,39.05197916534399382726,0.00000000000000000000,0.00000000000000000000,5,-99,-2988,-2988,39.19893376898039605294,0.00000000000000000000,0.00000000000000000000,5,-99,-2950,-2950,39.40556127926606677647,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,6,-119,-2622,-2622,39.04516677772585353523,0.00000000000000000000,0.00000000000000000000,6,-119,-2246,-2246,39.20236246762050313919,0.00000000000000000000,0.00000000000000000000,6,-119,-2207,-2207,39.40210231319241529491,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,7,-139,-1817,-1817,39.04516677772585353523,0.00000000000000000000,0.00000000000000000000,7,-139,-1493,-1493,39.20236246762050313919,0.00000000000000000000,0.00000000000000000000,7,-139,-1413,-1413,39.40210231319241529491,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,8,-159,-945,-945,39.04176133773881929301,0.00000000000000000000,0.00000000000000000000,8,-159,-603,-603,39.19893376898039605294,0.00000000000000000000,0.00000000000000000000,8,-159,-550,-550,39.40210231319241529491,0.00000000000000000000,0.00000000000000000000,-368
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:633,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,9,-179,34,34,39.04516677772585353523,0.00000000000000000000,0.00000000000000000000,9,-179,364,364,39.19893376898039605294,0.00000000000000000000,0.00000000000000000000,9,-179,414,414,39.40556127926606677647,0.00000000000000000000,0.00000000000000000000,-368
