GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,BIN,X,Y,Difference,Difference_neg
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1591,190,147.43999999999999772626,147.43999999999999772626
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4808,380,157.29777777777778169366,157.29777777777778169366
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2347,709,284.75999999999999090505,284.75999999999999090505
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4184,1235,605.44444444444445707632,605.44444444444445707632
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3019,1480,121.65777777777778112522,121.65777777777778112522
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1536,1819,267.80888888888887322537,267.80888888888887322537
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1155,2493,710.90222222222223535937,710.90222222222223535937
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,195,2589,223.97333333333332916482,223.97333333333332916482
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2101,2672,128.34666666666666401397,128.34666666666666401397
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3153,2783,307.62222222222220580079,307.62222222222220580079
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:075,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2239,2975,344.48000000000001818989,344.48000000000001818989
