GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,T_combined_msec_1st,Bz_combined_DAC_1st,APS_E_1st,APS_W_1st,NTC_1st,Laser_1_1st,Laser_2_1st,T_combined_msec_2nd,Bz_combined_DAC_2nd,APS_E_2nd,APS_W_2nd,NTC_2nd,Laser_1_2nd,Laser_2_2nd,T_combined_msec_3rd,Bz_combined_DAC_3rd,APS_E_3rd,APS_W_3rd,NTC_3rd,Laser_1_3rd,Laser_2_3rd,aps_bottom_endStop_aps_dac
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,0,0,-5212,-5212,42.55680644647583221740,0.00000000000000000000,0.00000000000000000000,0,0,-4694,-4694,42.62817528410113254722,0.00000000000000000000,0.00000000000000000000,0,0,-4601,-4601,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,-12,-2533,-2533,42.55680644647583221740,0.00000000000000000000,0.00000000000000000000,1,-12,-1982,-1982,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,1,-12,-1879,-1879,42.73962443538397337761,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,-24,-806,-806,42.55680644647583221740,0.00000000000000000000,0.00000000000000000000,2,-24,-192,-192,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,2,-24,-86,-86,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,3,-37,83,83,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,3,-37,732,732,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,3,-37,843,843,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,4,-49,780,780,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,4,-49,1514,1514,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,4,-49,1559,1559,42.73962443538397337761,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,5,-61,1564,1564,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,5,-61,2311,2311,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,5,-61,2354,2354,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,6,-73,2343,2343,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,6,-73,3126,3126,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,6,-73,3165,3165,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,7,-86,3124,3124,42.55680644647583221740,0.00000000000000000000,0.00000000000000000000,7,-86,3915,3915,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,7,-86,3981,3981,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,8,-98,3922,3922,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,8,-98,4665,4665,42.64406439650429092580,0.00000000000000000000,0.00000000000000000000,8,-98,4792,4792,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,9,-110,4675,4675,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,9,-110,5443,5443,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,9,-110,5560,5560,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
