GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,step_count,sweep_seg,sweep_seg_step_count,option,Sensor Temp,Driver Temp,APS,AFcode,score,sfr_PFL,sfr_EFL,sfr_ny8,sfr_ny4,sfr_ny2,sfr_acc,sfr_ny8_maxmin,sfr_ny4_maxmin,sfr_ny2_maxmin,sfr_acc_maxmin,sfr_left_x,sfr_left_y,sfr_right_x,sfr_right_y,sfr_top_x,sfr_top_y,sfr_bottom_x,sfr_bottom_y
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:24:324,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,1,1,0,35.42011187426113849597,39.87890625000000000000,7666,-100,0.01631763417219742746,2.70206172775237174477,2.68393135725151221749,0.02204169359259396804,0.01631763417219742746,0.02284289406634654185,0.03061823353067905790,0.01209783715890165937,0.00634617048251210313,0.02934869828227167771,0.00281987344549237268,2097.88868529546516583650,2437.54374713696734033874,2811.93063973063954108511,2437.05230078563408824266,2454.61897142857151266071,2079.97394285714290163014,2455.02362736273607879411,2794.33078307830783160171
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:25:594,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,1,2,0,35.21496529702537969797,40.59375000000000000000,5066,-60,0.03150361365934861713,2.71291656192221930510,2.69464072330550585832,0.09237901142625667972,0.03150361365934861713,0.01930134885948151663,0.03529287345388051889,0.03932811277456714494,0.02053859451055875529,0.00859816943160496283,0.00166061415147689823,2096.50197904540164017817,2437.50570430733387183864,2813.43109458517301391112,2437.04787357657460233895,2454.59237741110837305314,2078.61584940739021476475,2455.12424803331805378548,2795.82369273484482619097
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:26:954,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,3,1,3,0,36.44584476043989695881,40.53906250000000000000,2451,-20,0.02507795620884176180,2.72493980571271077196,2.70650216699001378018,0.04661970627694967534,0.02507795620884176180,0.01304552254818516430,0.04369074115153422783,0.04039134257350762702,0.01585555064303994371,0.01491817112172227552,0.00180625844366305577,2094.89228915662670260645,2437.54578313253023225116,2814.99952210274796016165,2437.00000000000000000000,2454.63416988416975073051,2077.00989382239367841976,2455.10175185985099233221,2797.39548836093126737978
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:28:534,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,4,1,4,0,36.75356462629352449767,40.83984375000000000000,-41,20,0.06963636968922377879,2.73745324119037869437,2.71884645359862231473,0.34958198348689095702,0.06963636968922377879,0.02129511368356283227,0.06519716556165403021,0.06925920322277762109,0.06237016983092722594,0.02882049147757173579,0.00446579662777808750,2093.21121866468092775904,2437.61032514271528270910,2816.62857847976329139783,2437.07329713721628650092,2454.65407407407383288955,2075.40888888888912333641,2455.07622101628021482611,2799.09940799210653494811
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:29:734,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,5,1,5,0,37.31771771369184165223,41.98437500000000000000,-2394,60,0.44067756772166744028,2.75023192498143131957,2.73145161142323589232,0.76048025655892803609,0.44067756772166744028,0.09342162722870550606,0.13556109535938504207,0.04523751526446950777,0.10907701650656476122,0.10111944048555865372,0.02721685687178612700,2091.46716264751148628420,2437.54104669061052845791,2818.24373401534512595390,2437.11611253196952020517,2454.56933744221896631643,2073.64509501797647317289,2455.04059229001768471790,2800.73168241000757916481
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:30:974,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,6,1,6,0,37.77929751247228296052,43.07421875000000000000,-4613,100,0.55853007886102346014,2.76363800935782766288,2.74467479042248330146,0.82342029333629984666,0.55853007886102346014,0.17674311316985866216,0.16402181702686469134,0.05778220767162278726,0.07471041139033840484,0.11466531357969018956,0.03024375341715349053,2089.67606707317054315354,2437.55843495934959719307,2820.02476384988494828576,2437.06101608373774070060,2454.54139156932433252223,2071.92762823768407542957,2455.00969140525376133155,2802.52894669727129439707
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:32:154,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,7,1,7,0,38.24087731125272426880,44.21875000000000000000,-6620,140,0.07247117777134902405,2.77660425763959217704,2.75746329681404489520,0.47109416457157221592,0.07247117777134902405,0.02022912759402422864,0.07385697063211803248,0.07297789659967185427,0.04099113031965750942,0.02013739807839036791,0.00674182066070470876,2088.09035705610858713044,2437.61719698809793044347,2821.80525164113805658417,2437.23875516654516104609,2454.58387958242292370414,2070.36003884437968736165,2455.02652068126508311252,2804.44963503649614722235
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:33:344,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,8,1,8,0,38.70245711003316557708,45.39453125000000000000,-8457,180,0.02007948383139053147,2.78937219684964521349,2.77005540800260652290,0.08553699760026363397,0.02007948383139053147,0.02338958407533956244,0.05165355331542435813,0.05096751549892129807,0.03922981647894824980,0.01289407377153293024,0.00226309361386693719,2086.41155988857917691348,2437.70357474466118219425,2823.52298050139279439463,2437.28412256267392876907,2454.61008751727331400616,2068.73675725472139674821,2455.09708063021298585227,2806.17933271547735785134
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:34:544,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,1,1,1,39.11275026450466896222,44.44140625000000000000,-2303,57,0.43722880058213187127,2.75006110325810970707,2.73128311461935879834,0.76016375203127806159,0.43722880058213187127,0.08708799188444790729,0.13316664886012219426,0.04836609306437222866,0.13214414993479589588,0.12555797889917524879,0.03007809049825994896,2091.48088273030543859932,2437.53143443674616719363,2818.21879775853267346974,2437.05119714722377466387,2454.55755395683445385657,2073.62641315519022100489,2455.05542784163480973803,2800.66130268199231068138
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:35:744,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,1,2,1,39.47175677466723442421,44.32812500000000000000,-2866,67,0.57540876280770869577,2.75301145353756782086,2.73419328992916677024,0.82251020541848762768,0.57540876280770869577,0.20184762178993953530,0.17260289093682348871,0.03284531301724014085,0.07399142800944913390,0.08906114873412976363,0.02789608242405836047,2091.03029525032070523594,2437.50629011553292002645,2818.55367665898029372329,2437.04073789392759863404,2454.49768993839825270697,2073.21021560574945397093,2455.05853658536580041982,2801.01925545571248221677
